deck,source_path,slide_number,table_id,is_table_metric,raw_name,clean_name,refined_name,refinement_changed,refinement_strategy,refinement_iteration,refinement_context_sample,normalized_name,canonical_name,catalog_metric_id,catalog_metric_slug,normalization_method,normalization_status,name_occurrences,name_quality,cluster_id,cluster_similarity,cluster_unit_conflict,normalization_confidence,extraction_confidence,combined_confidence,validation_status,validation_reasons,review_group_key,review_group_size,unit,metric_type,category,raw_value,normalized_value,raw_context_sample
Disney+ US FY24 H2,Disney+ US FY24 H2/11c_business_metrics_unfiltered.json,56,,false,Acquired Users,Acquired Users,Acquired Users,false,original,0,,acquired users,Acquisitions,,acquisitions,catalog_alias,catalog_mapped,10,0.78,,,false,0.909,0.775,0.8581,pass,,,,count,count,other,+10.8K,10800.0,Cost per Acquired User (CPA): Cost to acquire a net new user +10.8K Acquired Users Qualified Acquisitions
Disney+ US FY25 H1,Disney+ US FY25 H1/11c_business_metrics_unfiltered.json,33,,false,CPA,CPA,CPA,false,original,0,,cpa,Cost per Acquisition,,cost_per_acquisition,catalog_alias,catalog_mapped,108,0.78,,,false,0.909,0.775,0.8581,pass,,,,currency,currency,cost,$9.58,9.58,FY25 H1 CPA - Not Installed ROS $9.58 Qualified Acquisitions
Disney+ US FY25 H1,Disney+ US FY25 H1/11c_business_metrics_unfiltered.json,35,,false,CPE,CPE,CPE,false,original,0,,cpe,Cost per Engagement,,cost_per_engagement,catalog_alias,catalog_mapped,95,0.78,,,false,0.909,0.775,0.8581,pass,,,,currency,currency,cost,$5.06,5.06,FY25 H1 CPE: Lapsed ROS $5.06 Qualified Engagements
Disney+ US FY25 H1,Disney+ US FY25 H1/11c_business_metrics_unfiltered.json,37,,false,CPE,CPE,CPE,false,original,0,,cpe,Cost per Engagement,,cost_per_engagement,catalog_alias,catalog_mapped,95,0.78,,,false,0.909,0.775,0.8581,pass,,,,currency,currency,cost,$3.66,3.66,FY25 H1 CPE: Intenders ROS $3.66 Potential Scale FY25 Q4: 62M Impressions / $900k
Disney+ EMEA FY24 H1,Disney+ EMEA FY24 H1/11c_business_metrics_unfiltered.json,32,,false,Acquired Users,Acquired Users,Acquired Users,false,original,0,,acquired users,Acquisitions,,acquisitions,catalog_alias,catalog_mapped,10,0.78,,,false,0.909,0.78,0.86,pass,,,,count,count,other,96K,96000.0,LG Ads Recommendation Acquired Users: 96K Total Launches: 13.8M
Disney+ EMEA  FY25 H2,Disney+ EMEA  FY25 H2/11c_business_metrics_unfiltered.json,45,,false,Acquired User,Acquired User,Acquired User,false,original,0,,acquired user,Acquisitions,,acquisitions,catalog_alias,catalog_mapped,3,0.78,,,false,0.909,0.7825,0.8609,pass,,,,count,count,other,+30 m,30000000.0,Cost per Acquired User (CPA): Cost to acquire a net new user Acquired User: any user that installs and launches Disney+ for a +30 minute session within 7 day attribution window
Disney+ EMEA FY25 H1,Disney+ EMEA FY25 H1/11c_business_metrics_unfiltered.json,24,,false,Acquired User,Acquired User,Acquired User,false,original,0,,acquired user,Acquisitions,,acquisitions,catalog_alias,catalog_mapped,3,0.78,,,false,0.909,0.7925,0.8647,pass,,,,count,count,other,+30 m,30000000.0,Cost per Acquired User (CPA): Cost to acquire a net new user Acquired User: any user that installs and launches Disney+ for a +30 minute session within 7 day attribution window
Disney+ EMEA FY25 H1,Disney+ EMEA FY25 H1/11c_business_metrics_unfiltered.json,27,,false,Engaged User,Engaged User,Engaged User,false,original,0,,engaged user,Engagements,,engagements,catalog_alias,catalog_mapped,5,0.78,,,false,0.909,0.7925,0.8647,pass,,,,count,count,engagement,2,2.0,FY25 H1 CPE - Lapsed ROS Engaged User: any user that Launches Disney+ for 2 or more +30 minute session within 7 day attribution window Cost per Engaged User (CPE): Cost to engage a Lapsed user
Disney+ US FY24 H2,Disney+ US FY24 H2/11c_business_metrics_unfiltered.json,33,,false,Engaged User,Engaged User,Engaged User,false,original,0,,engaged user,Engagements,,engagements,catalog_alias,catalog_mapped,5,0.78,,,false,0.909,0.7925,0.8647,pass,,,,count,count,engagement,2,2.0,2H’24 CPE - Lapsed ROS Engaged User: any user that launches Disney+ for 2 or more +30 minute session within 7 day attribution window Cost per Engaged User (CPE): Cost to engage a Lapsed user
Disney+ US FY25 H1,Disney+ US FY25 H1/11c_business_metrics_unfiltered.json,33,,false,Acquired User,Acquired User,Acquired User,false,original,0,,acquired user,Acquisitions,,acquisitions,catalog_alias,catalog_mapped,3,0.78,,,false,0.909,0.7925,0.8647,pass,,,,count,count,other,+30 m,30000000.0,Sign-Up + Subscription Proxy Acquired User: any user that installs and launches Disney+ for a +30 minute session within 7 day attribution window
