metric_id,metric_name,client_name,region,period_label,appearances
installs,Installs,Disney+,US,H2 FY24,36
acquisitions,Acquisitions,Disney+,US,H2 FY24,23
cost_per_acquisition,Cost per Acquisition,Disney+,US,H2 FY24,22
cost_per_engagement,Cost per Engagement,Disney+,EMEA,H2 FY24,20
cost_per_engagement,Cost per Engagement,Disney+,US,H1 FY25,20
launches,Launches,Disney+,US,H2 FY24,18
cost_per_acquisition,Cost per Acquisition,Disney+,US,H1 FY25,17
cost_per_acquisition,Cost per Acquisition,Disney+,US,H1 2024,16
installs,Installs,Disney+,US,H1 FY25,15
launches,Launches,Disney+,US,H1 FY25,15
launches,Launches,Disney+,US,H2 FY25,15
acquisitions,Acquisitions,Disney+,US,H1 FY25,13
click_through_rate,Click Through Rate,Disney+,EMEA,H2 FY25,13
sessions,Sessions,Disney+,US,H2 FY24,13
cost_per_acquisition,Cost per Acquisition,Disney+,EMEA,H1 FY25,12
sessions,Sessions,Disney+,US,H2 FY25,12
csrb_spend,Content Store Roadblock Spend,Disney+,US,H2 FY24,11
engagements,Engagements,Disney+,US,H1 FY25,11
conversions,Conversions,Disney+,US,H2 FY25,10
cost_per_engagement,Cost per Engagement,Disney+,EMEA,H1 FY25,10
cost_per_engagement,Cost per Engagement,Disney+,US,H1 2024,10
reach,Reach,Disney+,EMEA,H2 FY25,10
cost_per_engagement,Cost per Engagement,Disney+,US,H2 FY24,9
click_through_rate,Click Through Rate,Disney+,US,H1 2024,8
click_through_rate,Click Through Rate,Disney+,US,H1 FY25,8
conversions,Conversions,Disney+,EMEA,H2 FY25,8
cost_per_acquisition,Cost per Acquisition,Disney+,EMEA,H2 FY24,8
engagements,Engagements,Disney+,US,H2 FY24,8
impressions,Impressions,Disney+,US,H2 FY24,8
installs,Installs,Disney+,US,H1 2024,8
cost_per_engagement,Cost per Engagement,Disney+,EMEA,H2 FY25,7
installs,Installs,Disney+,EMEA,H1 FY25,7
launch_rate,Launch Rate,Disney+,EMEA,H2 FY25,7
launches,Launches,Disney+,EMEA,H1 FY25,7
click_through_rate,Click Through Rate,Disney+,US,H2 FY24,6
click_through_rate,Click Through Rate,Disney+,US,H2 FY25,6
impressions,Impressions,Disney+,US,H1 FY25,6
launch_rate,Launch Rate,Disney+,US,H2 FY24,6
launches,Launches,Disney+,EMEA,H2 FY25,6
engagements,Engagements,Disney+,US,H2 FY25,5
reach,Reach,Disney+,EMEA,H1 FY25,5
reach,Reach,Disney+,US,H1 FY25,5
click_through_rate,Click Through Rate,Disney+,EMEA,H1 FY25,4
click_through_rate,Click Through Rate,Disney+,EMEA,June 2024,4
cost_per_engagement,Cost per Engagement,Disney+,US,H2 FY25,4
frequency,Frequency,Disney+,EMEA,H1 FY25,4
impressions,Impressions,Disney+,US,H1 2024,4
launch_rate,Launch Rate,Disney+,EMEA,H1 FY25,4
launches,Launches,Disney+,US,H1 2024,4
reach,Reach,Disney+,US,H2 FY24,4
sessions,Sessions,Disney+,US,H1 FY25,4
clicks,Clicks,Disney+,US,H1 FY25,3
cost_per_acquisition,Cost per Acquisition,Disney+,US,H1 2025,3
cost_per_acquisition,Cost per Acquisition,Disney+,US,H1 FY24,3
cost_per_engagement,Cost per Engagement,Disney+,US,H2 2024,3
cost_per_mille,Cost per Mille,Disney+,US,H2 FY24,3
csrb_spend,Content Store Roadblock Spend,Disney+,EMEA,H1 FY25,3
frequency,Frequency,Disney+,US,H1 FY25,3
impressions,Impressions,Disney+,EMEA,H2 FY24,3
install_rate,Install Rate,Disney+,US,H2 FY24,3
installs,Installs,Disney+,EMEA,H2 FY24,3
installs,Installs,Disney+,US,H1 FY24,3
installs,Installs,Disney+,US,H2 2024,3
launches,Launches,Disney+,EMEA,June 2024,3
monthly_active_users,Monthly Active Users,Disney+,EMEA,H1 FY24,3
share_of_voice,Share of Voice,Disney+,EMEA,H1 FY25,3
share_of_voice,Share of Voice,Disney+,US,H2 FY24,3
spend,Spend,Disney+,US,H1 FY25,3
spend,Spend,Disney+,US,H2 FY24,3
acquisitions,Acquisitions,Disney+,US,H1 2024,2
click_through_rate,Click Through Rate,Disney+,US,H1 FY24,2
click_through_rate,Click Through Rate,Disney+,US,June 2024,2
clicks,Clicks,Disney+,EMEA,H2 FY25,2
cost_per_acquisition,Cost per Acquisition,Disney+,EMEA,"Campaign Flights: UK 11/16-11/30 & 3/16-3/31, DE 3/16-3/31",2
cost_per_acquisition,Cost per Acquisition,Disney+,EMEA,H2 2024,2
cost_per_acquisition,Cost per Acquisition,Disney+,US,8/6 - 1/14,2
cost_per_engagement,Cost per Engagement,Disney+,EMEA,H1 2024,2
cost_per_engagement,Cost per Engagement,Disney+,US,8/6 - 1/14,2
cost_per_engagement,Cost per Engagement,Disney+,US,H1 FY24,2
cost_per_install,Cost per Install,Disney+,US,March 2024,2
csrb_spend,Content Store Roadblock Spend,Disney+,US,H2 FY25,2
engagements,Engagements,Disney+,EMEA,H2 FY24,2
engagements,Engagements,Disney+,US,H2 2024,2
frequency,Frequency,Disney+,EMEA,H2 FY25,2
frequency,Frequency,Disney+,US,H2 FY24,2
impressions,Impressions,Disney+,US,H2 2024,2
impressions,Impressions,Disney+,US,H2 FY25,2
impressions,Impressions,Disney+,US,March 2024,2
install_rate,Install Rate,Disney+,EMEA,H1 FY25,2
launch_rate,Launch Rate,Disney+,EMEA,H2 FY24,2
launch_rate,Launch Rate,Disney+,US,H1 2024,2
launch_rate,Launch Rate,Disney+,US,H1 FY25,2
launch_rate,Launch Rate,Disney+,US,H2 FY25,2
launches,Launches,Disney+,EMEA,H2 FY24,2
launches,Launches,Disney+,EMEA,"September 25-26, 2024",2
launches,Launches,Disney+,US,H1 FY24,2
launches,Launches,Disney+,US,H2 2024,2
monthly_active_users,Monthly Active Users,Disney+,EMEA,H2 FY25,2
purchases,Purchases,Disney+,US,November 2023,2
reach,Reach,Disney+,EMEA,Spring Promo H1 FY25,2
reach,Reach,Disney+,US,H2 FY25,2
sessions,Sessions,Disney+,US,H1 2024,2
sessions,Sessions,Disney+,US,H1 FY24,2
share_of_voice,Share of Voice,Disney+,EMEA,H2 FY25,2
share_of_voice,Share of Voice,Disney+,EMEA,"March 29, 2025",2
share_of_voice,Share of Voice,Disney+,US,H1 FY25,2
spend,Spend,Disney+,US,March 2024,2
unique_reach,Unique Reach,Disney+,EMEA,H2 FY25,2
unique_reach,Unique Reach,Disney+,US,H1 FY24,2
unique_reach,Unique Reach,Disney+,US,H2 FY24,2
unique_reach,Unique Reach,Disney+,US,November 2023,2
acquisitions,Acquisitions,Disney+,EMEA,H2 FY25,1
